id_siniestro,score_isolation_forest,score_random_forest
SIN-0072,76.0,0.4
SIN-0073,89.0,3.2
SIN-0074,82.8,1.4
SIN-0075,89.0,0.5
SIN-0076,80.1,0.1
SIN-0077,83.7,6.1
SIN-0078,74.8,0.3
SIN-0079,76.8,0.1
SIN-0080,94.3,0.1
SIN-0081,94.9,0.1
SIN-0082,69.5,94.3
SIN-0083,66.9,0.7
SIN-0084,65.4,6.2
SIN-0085,82.2,0.1
SIN-0086,78.9,0.1
SIN-0087,67.1,2.2
SIN-0088,81.6,0.3
SIN-0089,75.1,0.3
SIN-0090,50.8,93.3
SIN-0091,84.7,4.3
SIN-0092,84.0,0.1
SIN-0093,58.4,90.7
SIN-0094,81.1,0.3
SIN-0095,87.9,5.3
SIN-0096,86.5,0.1
SIN-0097,83.5,0.3
SIN-0098,83.7,2.6
SIN-0099,79.5,1.0
SIN-0100,91.1,0.4
SIN-0101,34.4,72.9
SIN-0102,75.5,4.3
SIN-0103,73.9,0.1
SIN-0104,70.1,26.0
SIN-0105,81.9,0.1
SIN-0106,91.6,9.6
SIN-0107,91.8,0.1
SIN-0108,74.2,0.3
SIN-0109,76.0,12.1
SIN-0110,87.8,0.3
SIN-0111,83.0,1.3
SIN-0112,82.9,7.9
SIN-0113,94.8,0.2
SIN-0114,98.3,0.1
SIN-0115,88.0,0.7
SIN-0116,71.4,0.5
SIN-0117,83.1,0.3
SIN-0118,84.1,0.1
SIN-0119,85.6,0.1
SIN-0120,55.5,8.6
SIN-0121,93.1,0.3
SIN-0122,87.5,0.1
SIN-0123,89.3,9.6
SIN-0124,92.3,0.1
SIN-0125,70.4,3.0
SIN-0126,80.7,0.4
SIN-0127,91.2,0.1
SIN-0128,73.0,9.7
SIN-0129,92.1,0.1
SIN-0130,86.2,3.6
SIN-0131,74.5,0.1
SIN-0132,82.8,3.6
SIN-0133,70.2,12.2
SIN-0134,71.9,0.4
SIN-0135,88.6,0.3
SIN-0136,74.3,0.3
SIN-0137,81.5,0.3
SIN-0138,82.4,7.1
SIN-0139,88.5,2.8
SIN-0140,91.1,0.4
SIN-0141,92.4,0.1
SIN-0142,75.5,0.1
SIN-0143,59.8,31.1
SIN-0144,91.5,0.1
SIN-0145,86.9,0.9
SIN-0146,93.3,0.1
SIN-0147,85.2,6.2
SIN-0148,68.1,10.7
SIN-0149,44.2,96.7
SIN-0150,74.9,0.1
SIN-0151,82.0,1.7
SIN-0152,75.9,19.4
SIN-0153,82.8,0.1
SIN-0154,59.6,8.2
SIN-0155,88.0,4.0
SIN-0156,52.5,24.6
SIN-0157,84.6,2.6
SIN-0158,79.1,0.1
SIN-0159,66.8,0.7
SIN-0160,38.5,85.6
SIN-0161,85.3,0.1
SIN-0162,88.5,1.5
SIN-0163,70.6,88.5
SIN-0164,89.2,0.4
SIN-0165,77.1,0.1
SIN-0166,36.9,90.6
SIN-0167,72.9,0.3
SIN-0168,65.0,20.9
SIN-0169,62.8,2.8
SIN-0170,73.1,1.1
SIN-0171,63.9,9.8
SIN-0172,71.6,0.1
SIN-0173,93.6,0.2
SIN-0174,97.9,0.1
SIN-0175,90.9,1.8
SIN-0176,83.6,0.1
SIN-0177,88.3,0.1
SIN-0178,82.9,11.6
SIN-0179,55.4,91.4
SIN-0180,35.0,84.4
SIN-0181,65.3,10.4
SIN-0182,93.7,0.4
SIN-0183,85.9,0.1
SIN-0184,51.4,87.6
SIN-0185,92.0,0.1
SIN-0186,95.1,1.0
SIN-0187,86.8,0.7
SIN-0188,42.9,78.2
SIN-0189,86.6,3.9
SIN-0190,87.6,0.1
SIN-0191,77.4,0.3
SIN-0192,31.4,80.8
SIN-0193,87.9,0.7
SIN-0194,81.8,0.4
SIN-0195,50.4,18.7
SIN-0196,93.5,0.1
SIN-0197,92.2,1.5
SIN-0198,90.0,1.5
SIN-0199,96.3,1.0
SIN-0200,45.3,90.1
SIN-0201,69.9,7.7
SIN-0202,82.2,0.1
SIN-0203,76.6,0.1
SIN-0204,57.6,7.6
SIN-0205,86.3,0.1
SIN-0206,89.8,0.2
SIN-0207,74.0,0.8
SIN-0208,92.1,0.1
SIN-0209,85.8,2.7
SIN-0210,66.4,23.2
SIN-0211,90.9,0.1
SIN-0212,74.7,0.4
SIN-0213,74.0,0.2
SIN-0214,78.2,6.3
SIN-0215,72.3,2.3
SIN-0216,91.0,1.2
SIN-0217,24.9,22.1
SIN-0218,82.3,0.4
SIN-0219,68.2,72.8
SIN-0220,90.1,3.1
SIN-0221,50.7,95.9
SIN-0222,81.7,0.3
SIN-0223,87.8,0.1
SIN-0224,60.4,24.3
SIN-0225,51.8,95.3
SIN-0226,70.6,0.1
SIN-0227,96.9,0.1
SIN-0228,46.1,28.8
SIN-0229,81.3,0.3
SIN-0230,89.9,0.2
SIN-0231,78.3,12.6
SIN-0232,88.4,0.1
SIN-0233,52.6,97.0
SIN-0234,37.7,98.5
SIN-0235,85.9,0.5
SIN-0236,81.7,0.5
SIN-0237,81.9,1.1
SIN-0238,77.0,0.1
SIN-0239,71.2,2.6
SIN-0240,87.0,2.1
SIN-0241,70.4,0.6
SIN-0242,88.1,0.3
SIN-0243,80.4,14.5
SIN-0244,90.8,4.6
SIN-0245,100.0,0.1
SIN-0246,84.7,1.3
SIN-0247,92.5,0.1
SIN-0248,77.4,0.2
SIN-0249,93.0,16.2
SIN-0250,71.4,0.1
SIN-0251,94.9,0.1
SIN-0252,86.9,0.1
SIN-0253,81.7,8.5
SIN-0254,77.5,4.2
SIN-0255,63.5,0.8
SIN-0256,84.7,0.1
SIN-0257,77.4,0.1
SIN-0258,29.2,96.9
SIN-0259,70.6,11.5
SIN-0260,63.8,19.1
SIN-0261,84.8,0.1
SIN-0262,69.2,0.6
SIN-0263,88.1,0.1
SIN-0264,80.8,0.1
SIN-0265,87.5,3.9
SIN-0266,87.1,0.1
SIN-0267,61.3,1.8
SIN-0268,43.0,37.3
SIN-0269,82.8,0.1
SIN-0270,92.6,0.1
SIN-0271,73.4,0.1
SIN-0272,87.2,0.7
SIN-0273,68.1,0.3
SIN-0274,74.9,66.3
SIN-0275,76.8,0.1
SIN-0276,80.5,11.3
SIN-0277,74.5,0.1
SIN-0278,57.8,92.7
SIN-0279,91.1,0.1
SIN-0280,80.6,0.1
SIN-0281,87.1,0.1
SIN-0282,88.1,0.3
SIN-0283,85.9,0.1
SIN-0284,93.9,0.3
SIN-0285,81.3,7.5
SIN-0286,95.9,0.5
SIN-0287,94.4,0.1
SIN-0288,84.1,4.8
SIN-0289,81.6,14.5
SIN-0290,80.9,0.3
SIN-0291,53.6,97.3
SIN-0292,65.3,11.8
SIN-0293,92.2,0.3
SIN-0294,76.8,1.5
SIN-0295,84.4,0.3
SIN-0296,81.4,0.1
SIN-0297,70.7,7.9
SIN-0298,81.6,0.1
SIN-0299,83.1,0.1
SIN-0300,92.0,0.1
SIN-0301,86.6,3.3
SIN-0302,66.1,0.3
SIN-0303,83.2,0.1
SIN-0304,44.9,98.0
SIN-0305,60.0,97.4
SIN-0306,87.5,5.6
SIN-0307,98.0,0.3
SIN-0308,76.1,0.1
SIN-0309,89.7,0.1
SIN-0310,91.1,5.9
SIN-0311,27.7,96.1
SIN-0312,92.1,1.0
SIN-0313,79.7,7.8
SIN-0314,91.5,0.1
SIN-0315,90.8,0.5
SIN-0316,82.5,9.8
SIN-0317,91.0,0.7
SIN-0318,41.8,94.2
SIN-0319,95.6,0.1
SIN-0320,54.5,95.9
SIN-0321,83.5,0.1
SIN-0322,51.9,85.2
SIN-0323,87.0,0.1
SIN-0324,86.2,2.1
SIN-0325,92.4,1.4
SIN-0326,91.7,3.8
SIN-0327,73.0,0.1
SIN-0328,88.6,0.1
SIN-0329,71.4,14.0
SIN-0330,26.3,93.7
SIN-0331,82.7,0.4
SIN-0332,80.5,0.7
SIN-0333,80.4,3.2
SIN-0334,68.7,72.7
SIN-0335,41.8,93.7
SIN-0336,84.9,0.1
SIN-0337,87.8,0.1
SIN-0338,80.4,1.3
SIN-0339,62.4,89.9
SIN-0340,76.7,5.9
SIN-0341,71.1,2.0
SIN-0342,85.6,10.7
SIN-0343,90.6,0.5
SIN-0344,18.0,33.9
SIN-0345,98.3,3.2
SIN-0346,37.9,93.9
SIN-0347,40.2,29.1
SIN-0348,39.4,91.0
SIN-0349,53.8,91.4
SIN-0350,91.2,0.1
SIN-0351,88.8,0.1
SIN-0352,87.0,0.1
SIN-0353,38.4,97.1
SIN-0354,89.7,0.1
SIN-0355,78.4,3.7
SIN-0356,82.9,0.1
SIN-0357,76.3,0.1
SIN-0358,57.8,95.1
SIN-0359,80.8,0.1
SIN-0360,80.8,0.1
SIN-0361,92.7,0.8
SIN-0362,39.4,87.7
SIN-0363,78.6,2.8
SIN-0364,97.1,0.1
SIN-0365,40.1,95.0
SIN-0366,80.2,7.4
SIN-0367,98.6,1.6
SIN-0368,85.1,0.1
SIN-0369,86.1,0.1
SIN-0370,49.8,92.0
SIN-0371,84.1,3.7
SIN-0372,73.4,4.8
SIN-0373,90.5,0.6
SIN-0374,34.4,97.3
SIN-0375,87.3,0.3
SIN-0376,83.8,2.6
SIN-0377,66.0,22.2
SIN-0378,32.6,92.5
SIN-0379,82.8,0.1
SIN-0380,88.5,0.6
SIN-0381,48.9,95.3
SIN-0382,84.2,0.7
SIN-0383,88.6,0.1
SIN-0384,74.7,5.2
SIN-0385,70.6,73.7
SIN-0386,89.1,0.6
SIN-0387,74.0,21.8
SIN-0388,60.7,3.1
SIN-0389,81.4,0.4
SIN-0390,53.4,99.1
SIN-0391,92.2,0.8
SIN-0392,54.5,5.1
SIN-0393,89.9,0.1
SIN-0394,61.5,22.4
SIN-0395,89.6,0.8
SIN-0396,51.6,88.2
SIN-0397,88.7,0.1
SIN-0398,71.6,0.1
SIN-0399,76.4,31.0
SIN-0400,83.6,2.3
SIN-0401,34.6,81.6
SIN-0402,58.6,3.8
SIN-0403,81.4,2.5
SIN-0404,41.1,93.9
SIN-0405,90.7,4.1
SIN-0406,48.8,76.4
SIN-0407,76.5,0.9
SIN-0408,93.3,2.2
SIN-0409,53.2,92.2
SIN-0410,82.9,0.1
SIN-0411,39.9,89.0
SIN-0412,79.4,5.7
SIN-0413,90.7,0.4
SIN-0414,77.3,1.0
SIN-0415,85.0,4.2
SIN-0416,76.7,17.4
SIN-0417,88.2,0.7
SIN-0418,56.4,97.2
SIN-0419,52.9,95.2
SIN-0420,74.3,0.6
SIN-0421,83.9,3.8
SIN-0422,70.6,90.4
SIN-0423,39.5,97.8
SIN-0424,62.2,9.4
SIN-0425,86.7,0.4
SIN-0426,91.4,0.1
SIN-0427,32.9,92.6
SIN-0428,39.7,96.0
SIN-0429,88.2,0.1
SIN-0430,80.7,0.7
SIN-0431,84.7,4.3
SIN-0432,90.5,0.3
SIN-0433,79.7,5.3
SIN-0434,87.6,0.1
SIN-0435,89.1,0.8
SIN-0436,73.8,0.1
SIN-0437,80.0,1.3
SIN-0438,79.6,1.2
SIN-0439,91.6,0.1
SIN-0440,88.6,0.1
SIN-0441,67.0,30.0
SIN-0442,68.4,26.3
SIN-0443,94.8,0.1
SIN-0444,90.4,5.8
SIN-0445,79.4,8.6
SIN-0446,79.0,1.3
SIN-0447,79.6,0.1
SIN-0448,24.4,87.5
SIN-0449,79.0,0.1
SIN-0450,81.7,9.5
SIN-0451,53.4,94.7
SIN-0452,36.7,33.7
SIN-0453,81.9,0.1
SIN-0454,57.4,23.1
SIN-0455,71.0,1.3
SIN-0456,48.5,90.4
SIN-0457,76.2,4.0
SIN-0458,95.7,0.1
SIN-0459,87.5,2.7
SIN-0460,48.8,95.0
SIN-0461,81.2,0.4
SIN-0462,57.2,11.0
SIN-0463,71.5,0.3
SIN-0464,40.4,97.3
SIN-0465,81.9,0.7
SIN-0466,95.9,2.6
SIN-0467,91.3,0.1
SIN-0468,88.8,0.1
SIN-0469,48.9,35.2
SIN-0470,92.7,0.8
SIN-0471,65.9,1.8
SIN-0472,43.5,31.5
SIN-0473,53.8,6.1
SIN-0474,88.1,0.8
SIN-0475,76.8,79.5
SIN-0476,38.1,25.2
SIN-0477,30.2,98.7
SIN-0478,76.6,0.1
SIN-0479,87.5,10.5
SIN-0480,82.8,0.1
SIN-0481,39.5,39.1
SIN-0482,62.8,91.0
SIN-0483,79.8,1.8
SIN-0484,80.3,0.5
SIN-0485,49.8,17.3
SIN-0486,78.2,0.1
SIN-0487,74.4,0.1
SIN-0488,88.0,0.7
SIN-0489,84.4,1.6
SIN-0490,88.8,0.1
SIN-0491,88.2,0.1
SIN-0492,31.9,85.1
SIN-0493,63.4,89.3
SIN-0494,33.3,93.5
SIN-0495,87.2,3.2
SIN-0496,86.5,6.0
SIN-0497,46.0,92.4
SIN-0498,71.5,6.4
SIN-0499,86.8,5.0
SIN-0500,71.8,0.1
